Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,X_coordinate,Y_coordinate,Postal_code,Security_region_code,Security_region_name,Percentage_in_security_region,RNA_per_ml,Representative_measurement
2020/8/29,10020,Woudenberg,158675,455096,3931MR,VR09,Utrecht,"0,658014732",0,TRUE
2020/8/30,28003,Aarle-Rixtel,174610,391423,5735SC,VR21,Brabant-Noord,"0,004472086",63,TRUE
2020/8/30,28003,Aarle-Rixtel,174610,391423,5735SC,VR22,Brabant-Zuidoost,"0,995527914",63,TRUE
2020/8/30,27008,'s Hertogenbosch,147493,415446,5221CD,VR21,Brabant-Noord,1,122,TRUE
2020/8/30,28005,Dinther,165227,405407,5473XL,VR21,Brabant-Noord,1,97,TRUE
2020/8/30,2012,Drachten,200760,569642,9206AG,VR02,Friesland,1,0,TRUE
2020/8/30,10037,Loenen,129000,470700,3634BA,VR09,Utrecht,1,65,TRUE
2020/8/30,27010,Sint-Oedenrode,159021,396687,5492VB,VR21,Brabant-Noord,"0,29726163",268,TRUE
2020/8/30,27010,Sint-Oedenrode,159021,396687,5492VB,VR22,Brabant-Zuidoost,"0,70273837",268,TRUE
2020/8/30,21001,Walcheren,31809,385219,4389VM,VR19,Zeeland,1,0,TRUE
2020/8/30,18006,Westerschouwen,42833,412362,4328NP,VR19,Zeeland,1,0,TRUE
2020/8/31,6005,Almere,145400,490200,1332AG,VR25,Flevoland,1,454,TRUE
2020/8/31,12006,Alkmaar,110983,517113,1817ET,VR10,Noord-Holland-Noord,1,110,TRUE
2020/8/31,8022,Apeldoorn,194895,472607,7317AX,VR06,Noord- en Oost-Gelderland,1,51,TRUE
2020/8/31,12022,Beverwijk,106373,498868,1948NS,VR12,Kennemerland,"0,435961337",110,TRUE
2020/8/31,12022,Beverwijk,106373,498868,1948NS,VR10,Noord-Holland-Noord,"0,107744265",110,TRUE
2020/8/31,12022,Beverwijk,106373,498868,1948NS,VR11,Zaanstreek-Waterland,"0,456294399",110,TRUE
2020/8/31,8017,Epe,196608,484240,8161PH,VR06,Noord- en Oost-Gelderland,1,0,TRUE
2020/8/31,15008,Harnaschpolder,81598,447803,2635BX,VR15,Haaglanden,"0,959505899",262,TRUE
2020/8/31,15008,Harnaschpolder,81598,447803,2635BX,VR16,Hollands-Midden,"0,004198207",262,TRUE
2020/8/31,15008,Harnaschpolder,81598,447803,2635BX,VR17,Rotterdam-Rijnmond,"0,036295894",262,TRUE
2020/8/31,15005,Houtrust,78484,455921,2566GJ,VR15,Haaglanden,1,672,TRUE
2020/8/31,13033,Leiden Zuid-west,92339,461320,2324AB,VR15,Haaglanden,"0,007372899",35,TRUE
2020/8/31,13033,Leiden Zuid-west,92339,461320,2324AB,VR16,Hollands-Midden,"0,992627101",35,TRUE
2020/8/31,6004,Lelystad,158268,501627,8243PE,VR25,Flevoland,1,158,TRUE
2020/8/31,10009,Utrecht,135481,458130,3552TJ,VR09,Utrecht,1,534,TRUE
2020/8/31,6006,Zeewolde,163136,485509,3899AW,VR25,Flevoland,1,41,TRUE
2020/9/1,11014,Amsterdam West,114580,490289,1046BS,VR13,Amsterdam-Amstelland,"0,989553131",719,TRUE
2020/9/1,11014,Amsterdam West,114580,490289,1046BS,VR09,Utrecht,"0,010446869",719,TRUE
2020/9/1,9013,Asperen,136056,432812,4147CV,VR08,Gelderland-Zuid,1,0,TRUE
2020/9/1,3001,Beilen,228900,542000,9411VR,VR03,Drenthe,1,0,TRUE
2020/9/1,9017,Bergharen,172712,428608,6617KE,VR08,Gelderland-Zuid,1,50,TRUE
2020/9/1,12023,Den Helder,115228,547921,1786PS,VR10,Noord-Holland-Noord,1,83,TRUE
2020/9/1,4019,Deventer,205851,476223,7414KA,VR04,IJsselland,1,0,TRUE
2020/9/1,10008,Driebergen,146869,451529,3972EH,VR09,Utrecht,1,208,TRUE
